Chapter,Section,Content
Chapter 1: Mayor,Section 10. Succession.,elections shall mail notice of such election to all registered voters within
Chapter 75 herein.,Section 20-d. Office of nightlife.,vote of such advisory board. Any vacancy on the nightlife advisory board shall
Chapter 75 herein.,Section 20-n. Office of the utility advocate.,"public hearings. Such public hearings shall include, but need not be limited"
Chapter 2: Council,Section 24. Public advocate.,elections shall mail notice of such election to all registered voters within
Chapter 2: Council,Section 25. Election; term; vacancies.,such election to all registered voters within the district in which the
Chapter 2: Council,Section 28. Powers of council.,council by a majority vote of all the council members shall elect a successor
Chapter 2: Council,Section 31. Power of advice and consent.,and consent of the council after a public hearing. Within 30 days after the
Chapter 2: Council,Section 33. Local laws and budget modifications; fiscal impact statements.,a.   No proposed local law or budget modification shall be voted on by a
Chapter 2: Council,Section 34. Vote required for local law or resolution.,Section 34. Vote required for local law or resolution.
Chapter 2: Council,Section 35. Ayes and noes.,No such vote may be cast except by a council member who is present and who
Chapter 2: Council,Section 36. Local laws; passage.,the affirmative vote of two-thirds of all the council members.
Chapter 2: Council,Section 37. Local laws; action by mayor.,reconsider the same. If after such reconsideration the votes of two-thirds of
Chapter 2: Council,Section 38. Local laws; referendum.,election by the affirmative vote of a majority of the qualified electors of the
Chapter 2: Council,Section 39. Reconsideration.,submitted the vote of the electors thereon shall be without effect.
Chapter 2: Council,Section 40. Amendment of charter.,2.   By vote of the electors of the city upon the petition of electors of
Chapter 2: Council,Section 41. Submission of local laws or amendments.,at the time of the registration of voters and at the election. If there be more
Chapter 2: Council,Section 46. Rules of the council.,committee vote on such proposed local law or resolution; that a majority of the
Chapter 2: Council,Section 48. City clerk; duties.,city clerk may be removed on charges by a two-third vote of all the council
Chapter 2-A: Districting Commission,Section 50. Districting commission; composition; appointment; terms; vacancies;,"delegation in the council shall, by majority vote, appoint five members of the"
Chapter 2-A: Districting Commission,Section 51. Powers and duties of the commission; hearings; submissions and,b.   The commission shall hold one or more public hearings not less than one
Chapter 2-A: Districting Commission,Section 52. District plan; criteria.,geographic concentrations of voters enrolled in the same political party into
Chapter 4: Borough Presidents.,Section 81. Qualifications; election; term; salary; removal; vacancy.,shall mail notice of such election to all registered voters within the
Chapter 4: Borough Presidents.,Section 82. Powers and duties.,5.   Have power to hold public hearings on matters of public interest.
Chapter 4: Borough Presidents.,Section 85. Borough board.,"public hearings at stated intervals in the borough and report to the council,"
Chapter 5: Comptroller.,Section 93. Powers and duties.,r.   The comptroller shall make a complete transcript of each public hearing
Chapter 5: Comptroller.,Section 94. Deputy comptrollers and other appointees.,elections shall mail notice of such election to all registered voters within
Chapter 6: Expense Budget,Section 104. Contract budget.,disapproval may be overridden by a two-thirds vote of all of the members of the
Chapter 6: Expense Budget,Section 106. Expense budget administration.,for public review upon adequate notice. No agency shall expend any sum in
Chapter 6: Expense Budget,Section 111. Self-dealing among members of the governing boards of charitable,transaction by a two-thirds majority excluding the vote of member to be
Chapter 7: Tax Appeals,Section 169. Rules of tribunal.,matter en banc it must have a majority present and that not less than two votes
Chapter 8: City Planning,Section 195. Acquisitions of office space.,commission shall hold a public hearing on such acquisition and shall approve or
Chapter 8: City Planning,Section 197-a. Plans.,the board or borough president proposing such a plan has held a public hearing
Chapter 8: City Planning,Section 197-c. Uniform land use review procedure.,"president, the affirmative vote of five members of the commission shall be"
Chapter 8: City Planning,Section 197-d. Council review.,"holding a public hearing) and the affected borough president, within the time"
Chapter 8: City Planning,Section 200. Zoning resolution.,"vote and, after notice to the parties affected, a public hearing. The council"
